"","intercept","slope","sd_X","scaled_slope","week","predictor"
"5",13.59,0.00106233549090213,82.46,8.76,13,"correlation length"
"6",13.81,0.000399514394067199,98.52,3.94,14,"correlation length"
"7",13.82,0.000347964673138385,120.79,4.2,15,"correlation length"
"8",13.83,0.000271449156893091,115.11,3.12,16,"correlation length"
"9",13.84,0.000199910229980222,110,2.2,17,"correlation length"
"10",13.84,0.00017312404230549,104.48,1.81,18,"correlation length"
"11",13.83,0.000175624958542222,99.12,1.74,19,"correlation length"
"12",13.83,0.000189381700358923,98.52,1.87,20,"correlation length"
"13",13.72,0.000605488666315091,135.02,8.18,21,"correlation length"
"14",13.64,0.000933032980420466,194.36,18.13,22,"correlation length"
"15",13.58,0.00113219175428776,230.87,26.14,23,"correlation length"
"16",13.54,0.00129675661482404,256.67,33.28,24,"correlation length"
"17",13.51,0.00139779663546512,276.13,38.6,25,"correlation length"
"18",13.5,0.00144359748887526,291.45,42.07,26,"correlation length"
"19",13.49,0.0014500240663376,300.69,43.6,27,"correlation length"
"20",13.5,0.00144374171151456,305.82,44.15,28,"correlation length"
"21",13.5,0.00141582883646513,309.22,43.78,29,"correlation length"
"22",13.52,0.00137422880283116,311.33,42.78,30,"correlation length"
"23",13.52,0.00134272043887771,311.53,41.83,31,"correlation length"
"24",13.52,0.00134107227628776,305.48,40.97,32,"correlation length"
"25",13.52,0.00133759401013978,300.44,40.19,33,"correlation length"
"26",13.52,0.00133997196669798,296,39.66,34,"correlation length"
"27",13.53,0.00130978060940095,297.22,38.93,35,"correlation length"
"28",13.53,0.00130532157118038,296.42,38.69,36,"correlation length"
"29",13.53,0.00131895405241243,292.79,38.62,37,"correlation length"
"30",13.53,0.00133351983574598,293.72,39.17,38,"correlation length"
"31",13.51,0.00136646343714009,295.67,40.4,39,"correlation length"
"32",13.5,0.00142149967518385,296.38,42.13,40,"correlation length"
"33",13.47,0.00150455503067572,296.72,44.64,41,"correlation length"
"34",13.43,0.00159767808841461,296.18,47.32,42,"correlation length"
"35",13.4,0.00168841499734825,296,49.98,43,"correlation length"
"36",13.37,0.00177289118473097,296.15,52.5,44,"correlation length"
"37",13.35,0.001851580992057,294.19,54.47,45,"correlation length"
"38",13.4,0.0018372100279932,290.22,53.32,46,"correlation length"
"39",13.48,0.00178175145287616,286.9,51.12,47,"correlation length"
"40",13.54,0.0017525872404751,283.38,49.67,48,"correlation length"
