"","intercept","slope","sd_X","scaled_slope","week"
"5",13.59,0,82.46,8.76,13
"6",13.81,0,98.52,3.94,14
"7",13.82,0,120.79,4.2,15
"8",13.83,0,115.11,3.12,16
"9",13.84,0,110,2.2,17
"10",13.84,0,104.48,1.81,18
"11",13.83,0,99.12,1.74,19
"12",13.83,0,98.52,1.87,20
"13",13.72,0,135.02,8.18,21
"14",13.64,0,194.36,18.13,22
"15",13.58,0,230.87,26.14,23
"16",13.54,0,256.67,33.28,24
"17",13.51,0,276.13,38.6,25
"18",13.5,0,291.45,42.07,26
"19",13.49,0,300.69,43.6,27
"20",13.5,0,305.82,44.15,28
"21",13.5,0,309.22,43.78,29
"22",13.52,0,311.33,42.78,30
"23",13.52,0,311.53,41.83,31
"24",13.52,0,305.48,40.97,32
"25",13.52,0,300.44,40.19,33
"26",13.52,0,296,39.66,34
"27",13.53,0,297.22,38.93,35
"28",13.53,0,296.42,38.69,36
"29",13.53,0,292.79,38.62,37
"30",13.53,0,293.72,39.17,38
"31",13.51,0,295.67,40.4,39
"32",13.5,0,296.38,42.13,40
"33",13.47,0,296.72,44.64,41
"34",13.43,0,296.18,47.32,42
"35",13.4,0,296,49.98,43
"36",13.37,0,296.15,52.5,44
"37",13.35,0,294.19,54.47,45
"38",13.4,0,290.22,53.32,46
"39",13.48,0,286.9,51.12,47
"40",13.54,0,283.38,49.67,48
"41",13.55,0,280.07,50,49
"42",13.54,0,277.66,51.2,50
"43",13.53,0,275.3,52,51
"44",13.52,0,273.87,52.83,52
"45",13.51,0,273.15,53.39,53
"46",13.51,0,270.65,53.2,54
"47",13.51,0,268.22,52.72,55
"48",13.51,0,265.68,52.14,56
"49",13.51,0,263.37,51.51,57
"50",13.51,0,260.77,50.98,58
"51",13.54,0,261.35,50.17,59
"52",13.59,0,263.68,49.06,60
"53",13.59,0,263.68,49.06,61
"54",13.59,0,263.68,49.06,62
"55",13.59,0,263.68,49.06,63
"56",13.61,0,263.6,48.15,64
"57",13.62,0,263.08,47.07,65
"58",13.64,0,262.51,45.84,66
"59",13.66,0,261.9,44.35,67
"60",13.67,0,260.25,43.15,68
"61",13.64,0,262.22,44.25,69
"62",13.58,0,265.42,46.57,70
"63",13.5,0,268.83,49.67,71
"64",13.45,0,268.94,51.25,72
"65",13.39,0,268.66,52.8,73
"66",13.4,0,267,51.23,74
"67",13.39,0,264.87,50.78,75
"68",13.38,0,262.79,50.36,76
"69",13.38,0,260.77,49.98,77
"70",13.38,0,259.01,49.69,78
"71",13.37,0,258.3,49.84,79
"72",13.36,0,258.07,50.35,80
"73",13.35,0,257.8,51.01,81
"74",13.34,0,257.5,51.75,82
"75",13.33,0,256.69,52.36,83
"76",13.32,0,255.52,52.72,84
"77",13.32,0,254.08,52.9,85
"78",13.33,0,252.36,52.48,86
"79",13.4,0,252.61,50.7,87
"80",13.44,0,251.86,49.6,88
"81",13.45,0,250.22,49.26,89
"82",13.45,0,249.21,49.07,90
"83",13.45,0,249.21,49.07,91
"84",13.45,0,249.21,49.07,92
"85",13.45,0,249.21,49.07,93
"86",13.45,0,249.85,49,94
"87",13.45,0,249.57,48.91,95
"88",13.45,0,249.27,48.88,96
"89",13.45,0,248.56,49.05,97
"90",13.44,0,247.53,49.13,98
"91",13.44,0,246.51,49.35,99
"92",13.43,0,245.5,49.95,100
"93",13.42,0,244.39,50.77,101
"94",13.44,0,243,50.86,102
"95",13.64,0,245.06,45.54,103
"96",13.83,0,247.71,40.29,104
"97",13.9,0,247.03,38.53,105
"98",13.94,0,246.07,37.53,106
"99",13.99,0,246.37,36.22,107
"100",14.02,0,247.13,35.49,108
"101",14.04,0,247.83,35.22,109
"102",14.03,0,249.01,35.48,110
"103",14.02,0,250.71,36.06,111
"104",14.01,0,254.02,36.88,112
"105",13.99,0,255.18,37.58,113
"106",13.97,0,255.1,38.12,114
"107",13.96,0,254.36,38.33,115
"108",13.96,0,253.16,38,116
"109",13.96,0,252.26,37.59,117
"110",13.96,0,251.62,37.22,118
"111",13.96,0,250.97,37.04,119
"112",13.96,0,250.32,36.97,120
"113",NA,NA,NA,NA,121
"114",13.96,0,250.3,36.92,122
"115",13.96,0,250.08,37.03,123
"116",13.98,0,249.62,36.49,124
"117",14,0,248.9,36.03,125
"118",14.02,0,248.92,35.32,126
"119",14.04,0,248.2,34.86,127
"120",14.04,0,247.62,34.96,128
"121",14.03,0,247.81,35.22,129
"122",14.03,0,247.81,35.22,130
"123",14.03,0,247.34,35.35,131
"124",14.04,0,246.68,34.93,132
"125",14.05,0,245.71,34.67,133
"126",14.05,0,245.71,34.56,134
