"","intercept","slope","week"
"1",NA,NA,1
"2",NA,NA,2
"3",NA,NA,3
"4",NA,NA,4
"5",NA,NA,5
"6",NA,NA,6
"7",NA,NA,7
"8",NA,NA,8
"9",NA,NA,9
"10",9.95,0.035,10
"11",10.258,0.027,11
"12",10.947,0.016,12
"13",11.606,0.012,13
"14",12.024,0.01,14
"15",12.297,0.009,15
"16",12.306,0.008,16
"17",12.312,0.008,17
"18",12.359,0.007,18
"19",12.363,0.007,19
"20",12.413,0.006,20
"21",12.427,0.007,21
"22",12.419,0.007,22
"23",12.582,0.006,23
"24",12.694,0.005,24
"25",12.736,0.004,25
"26",12.753,0.004,26
"27",12.761,0.004,27
"28",12.765,0.004,28
"29",12.776,0.004,29
"30",12.777,0.004,30
"31",12.777,0.004,31
"32",12.916,0.004,32
"33",12.954,0.004,33
"34",12.96,0.004,34
"35",12.963,0.004,35
"36",12.963,0.004,36
"37",12.985,0.004,37
"38",12.991,0.004,38
"39",13.001,0.004,39
"40",13.001,0.004,40
"41",12.989,0.004,41
"42",12.975,0.004,42
"43",12.963,0.004,43
"44",12.951,0.004,44
"45",12.936,0.004,45
"46",12.937,0.004,46
"47",12.937,0.004,47
"48",12.969,0.004,48
"49",13.082,0.004,49
"50",13.212,0.004,50
"51",13.283,0.004,51
"52",13.328,0.004,52
"53",13.337,0.004,53
"54",13.415,0.004,54
"55",13.417,0.004,55
"56",13.423,0.004,56
"57",13.438,0.004,57
"58",13.47,0.003,58
"59",13.477,0.003,59
"60",13.499,0.003,60
"61",13.499,0.003,61
"62",13.499,0.003,62
"63",13.499,0.003,63
"64",13.574,0.003,64
"65",13.603,0.003,65
"66",13.642,0.003,66
"67",13.673,0.003,67
"68",13.673,0.003,68
"69",13.661,0.003,69
"70",13.634,0.003,70
"71",13.597,0.003,71
"72",13.574,0.003,72
"73",13.546,0.003,73
"74",13.538,0.003,74
"75",13.552,0.003,75
"76",13.57,0.003,76
"77",13.571,0.003,77
"78",13.574,0.003,78
"79",13.576,0.003,79
"80",13.572,0.003,80
"81",13.565,0.003,81
"82",13.557,0.003,82
"83",13.549,0.003,83
"84",13.543,0.003,84
"85",13.567,0.003,85
"86",13.582,0.003,86
"87",13.595,0.003,87
"88",13.596,0.003,88
"89",13.595,0.003,89
"90",13.595,0.003,90
"91",13.595,0.003,91
"92",13.595,0.003,92
"93",13.595,0.003,93
"94",13.629,0.003,94
"95",13.638,0.003,95
"96",13.641,0.003,96
"97",13.64,0.003,97
"98",13.638,0.003,98
"99",13.633,0.003,99
"100",13.62,0.003,100
"101",13.647,0.003,101
"102",13.687,0.003,102
"103",13.743,0.003,103
"104",13.843,0.002,104
"105",13.904,0.002,105
"106",13.945,0.002,106
"107",13.967,0.002,107
"108",13.976,0.002,108
"109",13.978,0.002,109
"110",13.973,0.002,110
"111",13.966,0.002,111
"112",13.957,0.002,112
"113",13.948,0.002,113
"114",13.942,0.002,114
"115",13.951,0.002,115
"116",13.955,0.002,116
"117",13.972,0.002,117
"118",13.99,0.002,118
"119",14.026,0.002,119
"120",14.028,0.002,120
"121",14.028,0.002,121
"122",14.03,0.002,122
"123",14.032,0.002,123
"124",14.032,0.002,124
"125",14.033,0.002,125
"126",14.048,0.002,126
"127",14.061,0.002,127
"128",14.08,0.002,128
"129",14.086,0.002,129
"130",14.086,0.002,130
"131",14.13,0.002,131
"132",14.137,0.002,132
"133",14.148,0.002,133
"134",14.153,0.002,134
"135",14.158,0.002,135
"136",14.159,0.002,136
"137",14.159,0.002,137
"138",14.158,0.002,138
"139",14.156,0.002,139
"140",14.153,0.002,140
"141",14.148,0.002,141
"142",14.148,0.002,142
"143",14.145,0.002,143
"144",14.146,0.002,144
"145",14.151,0.002,145
"146",14.153,0.002,146
"147",14.152,0.002,147
"148",14.161,0.002,148
"149",14.167,0.002,149
"150",14.167,0.002,150
"151",14.167,0.002,151
"152",14.167,0.002,152
"153",14.167,0.002,153
"154",14.169,0.002,154
"155",14.167,0.002,155
"156",14.165,0.002,156
"157",14.161,0.002,157
"158",14.158,0.002,158
"159",14.154,0.002,159
"160",14.151,0.002,160
"161",14.148,0.002,161
"162",14.143,0.002,162
"163",14.136,0.002,163
