"","X","week_start_date","total_cases","marginal_cases","cor_lengths","r_0_50","r_50_70","r_70_90","r_90_110","r_110_130","r_130_150","r_150_170","r_170_190","r_190_210","r_210_230","r_230_250","r_250_270","r_270_290","r_290_310","r_310_330","r_330_350","r_350_370","r_370_390","r_390_410","r_410_430","r_430_450","r_450_470","r_470_490","r_490_510","r_510_530","r_530_550","r_550_570","r_570_590","r_590_610","r_610_630","r_630_650","r_650_670","r_670_690","r_690_710","r_710_730","r_730_750","r_750_770","r_770_790","r_790_810","r_810_830","r_830_850","r_850_870","r_870_890","r_890_910","r_910_930","r_930_950","r_950_970","r_970_1000","next_week_marginal_cases","mhhinc_tier","wave","wave_1","wave_2","tier_1_1","tier_1_2","tier_1_3","tier_1_4","tier_2_2","tier_2_3","tier_2_4","tier_3_3","tier_3_4","tier_4_4","same_tier","tier_diff_1","tier_diff_2","tier_diff_3","tier_descr"
"1",1,"2020-03-28",353484,0,160,0.531252291294107,0.374521361764231,0.238211456090267,0.21569982085864,0.151665986679716,0.124796411841396,0.0704310831738432,0.0141974896793328,0.00806399402795306,-0.0147411406631007,-0.00611893489734839,0.00657128321296027,0.00630643390093355,0.0123020050024094,-0.00846055228387242,-0.0150367754657017,-0.00395661785077572,0.0510604764107933,-0.0287629286486906,-0.0248366578606964,-0.0466346711959934,-0.0339379935701968,-0.0385523458869292,-0.0257587513030303,-0.0371732931394379,-0.0274842216366964,-0.0311890099729421,-0.056314298454016,-0.0357531815716264,-0.019147523107034,-0.0312750499845212,-0.00795641010764735,-0.0287296119224711,-0.0146485515968801,-0.0183309238678154,0.0283811713420931,-5.0677708000642e-05,-0.0174521252296536,0.0117315970700336,-0.0123739755740024,-0.0100072431853818,-0.0154492766699825,-0.04376894556333,-0.0281497916846714,-0.0536106485778544,-0.0354572865880355,-0.0616734854774531,-0.0439672616124851,779055,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same"
"2",2,"2020-04-04",1132539,779055,180,0.715862531104772,0.592835608097313,0.41504611075345,0.376161565514977,0.315470461943729,0.283533713181149,0.1367823272594,0.0532163684528072,0.0623811627702924,0.0203852213238361,0.0431563841454567,0.0457298323408841,0.0459622995144282,0.0382019602817255,0.0131797490964605,-0.00234687528409654,-0.0103040942103809,0.0337057270026069,-0.0411334653937828,-0.0299045162525227,-0.0493912256708532,-0.0527943297142288,-0.0474656573859093,-0.042036963404382,-0.0447746401799408,-0.0241916428381719,-0.041700434528308,-0.0432984578705534,-0.0481607371662067,-0.0451225245593771,-0.0463483205735926,-0.0185957709913682,-0.0341058961080364,-0.041742934828248,-0.0299159589879875,0.0431275367302857,0.00124437101528921,-0.0144548058772633,0.0208293843299314,-0.000452782109580227,-0.00968229072328944,-0.016961957357471,-0.0500703227457804,-0.0300445389130179,-0.0504321144297971,-0.03513222623367,-0.0383281562899605,-0.0281979850430693,1199774,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same"
"3",3,"2020-04-11",2332313,1199774,220,0.8187176853896,0.703394737510799,0.55935980096085,0.489102827633835,0.458611392716128,0.40483514659618,0.240690340544081,0.128147981998349,0.106037497536098,0.0585643304574012,0.0592068033071444,0.0512616130900321,0.0671513605099246,0.0538311250670854,0.0315731363239748,0.0149703930678299,0.00545630137801221,0.000138039991197369,-0.0297936522534128,-0.0281353850240047,-0.0276092727864473,-0.0406566803703637,-0.0336250380784991,-0.0344487529352291,-0.0448289766398471,-0.0255731717809119,-0.0433697626348114,-0.0347712337106681,-0.0376629147029259,-0.0461678123807581,-0.0347932726896142,-0.0361751531157773,-0.0330662919002724,-0.0321009233129359,-0.0361559104930761,-0.00571205723408978,0.000120937412946284,0.00359954127033143,0.0146799484021997,-0.0449067817148524,-0.0469946135039904,-0.0557798772438251,-0.0660797771017867,-0.0263671397540395,-0.0511286584727824,-0.0377708841220064,-0.0401120267060281,-0.00847860014766411,1165823,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same"
"4",4,"2020-04-18",3498136,1165823,360,0.797130182447607,0.702341169038458,0.558566596055947,0.467799345408098,0.461258994862566,0.409389401413473,0.293072963218049,0.209095292801124,0.185467365533446,0.113638313181513,0.119618223742605,0.127509630416141,0.132337513142151,0.121028408261246,0.0922456200883505,0.0674545850774248,0.037023423049778,0.0058243123825898,-0.0151081662132,-0.00851469065434006,0.00753405640656758,-0.00466005310013283,0.00322322105218765,-0.015139474539468,-0.0135973265334703,-0.0103727129514366,-0.0296729555560279,-0.00926618348997552,-0.00977582509585427,-0.0118873631128624,-0.0140803410751925,-0.00979008571617794,0.00149957953032386,-0.0110687098392992,0.00145717210322939,0.00887067328653925,0.0588488822383464,0.0476750793517934,0.0171102944113403,-0.0170357057787284,-0.0545111665942082,-0.074782820918117,-0.0725210345464412,-0.0453529586653536,-0.0618609689663618,-0.0371217874646677,-0.0382837988688955,-0.00788154360186129,1170755,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same"
"5",5,"2020-04-25",4668891,1170755,220,0.355787247433827,0.420202492526919,0.181023904926286,0.272668153830686,0.280832985474931,0.183871053852373,0.125080565144484,0.11077478052454,0.0903000977567737,0.0540135555224967,0.0498080619161448,0.0525430641363489,0.0467301431757946,0.0416309576240456,0.143053501663518,0.068322139107903,0.0282569640937232,0.0111592434493253,-0.00372762953556293,-0.0132931751800284,-0.0141720927369065,-0.00811155496761269,-0.0136961755569998,-0.000916431387057617,0.00445762871348441,-0.0133508782529482,0.000932042526470992,-0.0151653886801199,-0.00161623751095718,0.00278995233312858,-0.00197232464706047,0.00396717866698528,0.00806854435967291,0.0106955555932448,0.0217254820926439,0.0311398156125687,0.092219272749575,0.0913168109908508,0.0300847595270196,0.0312110387944291,-0.0219958220623291,-0.0286300201662364,-0.0227849150637144,0.054864473709738,-0.0235505971632988,-0.0224591169437251,-0.0116992282599997,0.00726998481311544,1229625,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same"
"6",6,"2020-05-02",5898516,1229625,400,0.666012702992166,0.564178240768692,0.408174606416242,0.357963926061534,0.38379086420047,0.262932421656937,0.253808829772078,0.218594683631758,0.138505690644935,0.193892882035584,0.184694571864679,0.174166754685476,0.209027196642016,0.168698247195057,0.183028714850415,0.118092307685906,0.0974010547429666,0.0678271334906986,0.0426875838693634,-0.00890175690697975,0.00381071624521416,-0.0281581561802321,-0.0323470318317752,-0.0438449960674164,-0.0466119982743082,-0.0326921039550101,-0.021122677640782,-0.0104715759840751,0.0100898285463562,2.7668706259853e-05,-0.0112915058453475,-0.00684830240041942,0.0206828439716366,-0.00986763994574225,-0.0130775026965406,-0.0251870608164936,0.0597206793898853,0.0156017726283664,-0.016773938716775,-0.00777253349068335,-0.0356731380111553,-0.092430779135986,-0.0742515058517429,-0.0379553682919285,-0.0444883843460411,-0.045995190716715,0.0321059957692816,0.00140310586383486,1175087,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same"
"7",7,"2020-05-09",7073603,1175087,80,0.473353255090575,0.191661531535462,0.0553177832408479,0.0528589457615951,0.201901367970665,0.0325017588550974,0.11030878739797,0.119558096610676,0.0232355533281891,0.0883116064891007,0.10093899603983,0.0722068679920201,0.0799784319869861,0.113554876328822,0.0585374908890955,0.0212256726717322,0.0217612737853451,0.0337751128866423,-0.00729770971425451,-0.0226898321740964,0.0191082573949827,-0.0248394266326036,0.0175448626553567,-0.00841596693374032,-0.0146179485461142,-0.0359847970229307,-0.0277680978678163,-0.0142573534643459,-0.00116954676795694,-0.00766198487985104,-0.00517980796759255,-0.0129737941239151,0.000556704135481792,-0.0161246206360414,-0.00356217056554628,-0.0156038512509927,0.0154631280969246,0.00438970620303699,0.00270751741552402,-0.0376504355733284,-0.0221222809497435,-0.0412579799066426,-0.0465490116422119,-0.0244439624612823,0.000637724534395937,-0.0238282712009669,0.0201999167818332,-0.0107198005966433,1042249,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same"
"8",8,"2020-05-16",8115852,1042249,80,0.410366637358386,0.188737541265023,0.0521181899727654,0.050399925236397,0.0861894367665319,0.000468538679804417,0.0868569487634549,0.0841483925185375,0.00863199016678307,0.0690191608628871,0.12278872927523,0.0291163349298354,0.0499515130249134,0.0580340601400099,0.0255938555297219,0.00964849122876473,0.0102509220719996,0.00297417027766763,-0.00436218911793485,-0.0125238270599802,0.0480342411833453,-0.0265509533036653,0.0342237475163008,0.013921220928335,0.010328213769516,-0.0325468273134225,-0.0284112707608189,-0.00851354398435526,0.0163501164350901,-0.0140642829085506,0.00214528659546719,-0.0168511886773723,0.000127229627512234,-0.0180327782400977,0.00315975386617888,-0.0278011972773255,0.0231329035320566,0.00826544311044313,-0.0135189685638843,-0.0212002308255919,-0.0157728544000038,-0.0394563914072253,-0.0366921599092448,-0.0177078187341563,0.00101854014325387,-0.0224825296373199,0.0283508684744019,0.000180572733453894,1015099,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same"
"9",9,"2020-05-23",9130951,1015099,120,0.359354838542746,0.224353924289012,0.0935536478621405,0.068033139475696,0.0481096751376861,0.000899727082527156,0.0503812726219526,0.059766552763129,-0.0290620877098061,0.0622599998518591,0.00937224137216547,0.0121215015639157,0.000343239829235715,0.0249567877655611,-0.00283508858692066,0.0292346047973694,0.0245811520378245,0.0464578674803622,0.00180921152154868,0.00106451150505578,0.0504862856345875,-0.00554230159309128,0.0335284557110975,0.0279375138347322,0.0261695087429756,-0.0237468449102181,-0.0309230086619948,-0.0152524623143195,0.0366034171501615,-0.0216749084423337,0.0031733809596887,-0.0309202875342591,0.0384214175283177,-0.0115615331226951,0.0104028214815062,-0.036763493241871,0.0053401150467372,0.0109850175795287,-0.0240980745946724,0.0522812105068146,-0.0122036509635681,2.88325439526684e-05,-0.028538121282082,-0.00463028983065969,-0.00605983197108276,0.00990085268954415,0.0656951782891425,0.00760918368861109,986493,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same"
"10",10,"2020-05-30",10117444,986493,120,0.360029144730715,0.27011530110012,0.148313694325526,0.116265575411661,0.0485279913521353,0.0266194433908591,0.0327533134554696,0.0562354622626538,0.0120789452417492,0.0502025336982694,-0.0246478802660601,-0.0148884567113773,-0.0138642813544391,-0.032634909188238,-0.0239045769106252,0.00275220534031267,-0.00335719946735226,0.021011978852034,-0.018877861945156,0.00137983181621786,0.0175482279027198,-0.0325606433523551,0.0353859517027434,0.0168774377295042,0.0282846764756812,-0.0416846637266691,-0.0238826446358356,-0.00435247499813387,0.0613238793002912,-0.0142398982980264,0.00677389254389918,-0.0234309658831535,0.0137495715980433,-0.0141453500852149,-0.0127045171023629,-0.0521686992533258,-0.00464521544096835,-0.0163542048963698,-0.0133846482981292,0.0321385168152843,0.000346849510455194,0.0446683867232846,0.0218395914537636,0.0197228694241193,-0.0190742973309718,0.0422709873761543,0.0860314096577578,0.057419869947582,1007635,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same"
