"","week_start_date","total_cases","marginal_cases","cor_lengths","next_week_marginal_cases","r","value","week"
"1","2020-03-07",1402,0,25,8188,0,NA,"6"
"2","2020-03-07",1402,0,25,8188,50,NA,"6"
"3","2020-03-07",1402,0,25,8188,70,NA,"6"
"4","2020-03-07",1402,0,25,8188,90,NA,"6"
"5","2020-03-07",1402,0,25,8188,110,NA,"6"
"6","2020-03-07",1402,0,25,8188,130,NA,"6"
"7","2020-03-07",1402,0,25,8188,150,NA,"6"
"8","2020-03-07",1402,0,25,8188,170,NA,"6"
"9","2020-03-07",1402,0,25,8188,190,NA,"6"
"10","2020-03-07",1402,0,25,8188,210,NA,"6"
"11","2020-03-07",1402,0,25,8188,230,NA,"6"
"12","2020-03-07",1402,0,25,8188,250,NA,"6"
"13","2020-03-07",1402,0,25,8188,270,NA,"6"
"14","2020-03-07",1402,0,25,8188,290,NA,"6"
"15","2020-03-07",1402,0,25,8188,310,NA,"6"
"16","2020-03-07",1402,0,25,8188,330,NA,"6"
"17","2020-03-07",1402,0,25,8188,350,NA,"6"
"18","2020-03-07",1402,0,25,8188,370,NA,"6"
"19","2020-03-07",1402,0,25,8188,390,NA,"6"
"20","2020-03-07",1402,0,25,8188,410,NA,"6"
"21","2020-03-07",1402,0,25,8188,430,NA,"6"
"22","2020-03-07",1402,0,25,8188,450,NA,"6"
"23","2020-03-07",1402,0,25,8188,470,NA,"6"
"24","2020-03-07",1402,0,25,8188,490,NA,"6"
"25","2020-03-07",1402,0,25,8188,510,NA,"6"
"26","2020-03-07",1402,0,25,8188,530,NA,"6"
"27","2020-03-07",1402,0,25,8188,550,NA,"6"
"28","2020-03-07",1402,0,25,8188,570,NA,"6"
"29","2020-03-07",1402,0,25,8188,590,NA,"6"
"30","2020-03-07",1402,0,25,8188,610,NA,"6"
"31","2020-03-07",1402,0,25,8188,630,-0.225157067650281,"6"
"32","2020-03-07",1402,0,25,8188,650,NA,"6"
"33","2020-03-07",1402,0,25,8188,670,NA,"6"
"34","2020-03-07",1402,0,25,8188,690,NA,"6"
"35","2020-03-07",1402,0,25,8188,710,NA,"6"
"36","2020-03-07",1402,0,25,8188,730,NA,"6"
"37","2020-03-07",1402,0,25,8188,750,NA,"6"
"38","2020-03-07",1402,0,25,8188,770,NA,"6"
"39","2020-03-07",1402,0,25,8188,790,NA,"6"
"40","2020-03-07",1402,0,25,8188,810,NA,"6"
"41","2020-03-07",1402,0,25,8188,830,NA,"6"
"42","2020-03-07",1402,0,25,8188,850,NA,"6"
"43","2020-03-07",1402,0,25,8188,870,NA,"6"
"44","2020-03-07",1402,0,25,8188,890,NA,"6"
"45","2020-03-07",1402,0,25,8188,910,NA,"6"
"46","2020-03-07",1402,0,25,8188,930,NA,"6"
"47","2020-03-07",1402,0,25,8188,950,NA,"6"
"48","2020-03-07",1402,0,25,8188,970,NA,"6"
"49","2020-03-07",1402,0,25,8188,NA,3,"6"
"50","2020-03-14",9590,8188,25,50051,0,NA,"7"
"51","2020-03-14",9590,8188,25,50051,50,-0.132692829207534,"7"
"52","2020-03-14",9590,8188,25,50051,70,NA,"7"
"53","2020-03-14",9590,8188,25,50051,90,-0.218629146974381,"7"
"54","2020-03-14",9590,8188,25,50051,110,NA,"7"
"55","2020-03-14",9590,8188,25,50051,130,-0.0751688169638826,"7"
"56","2020-03-14",9590,8188,25,50051,150,-0.152414753731569,"7"
"57","2020-03-14",9590,8188,25,50051,170,-0.67523231081813,"7"
"58","2020-03-14",9590,8188,25,50051,190,NA,"7"
"59","2020-03-14",9590,8188,25,50051,210,-0.376983625792511,"7"
"60","2020-03-14",9590,8188,25,50051,230,-0.999669153787659,"7"
"61","2020-03-14",9590,8188,25,50051,250,-0.589936747813824,"7"
"62","2020-03-14",9590,8188,25,50051,270,-0.874051030863362,"7"
"63","2020-03-14",9590,8188,25,50051,290,-0.129249134060073,"7"
"64","2020-03-14",9590,8188,25,50051,310,-0.394871846498626,"7"
"65","2020-03-14",9590,8188,25,50051,330,-0.856758629720701,"7"
"66","2020-03-14",9590,8188,25,50051,350,-0.0609223033644289,"7"
"67","2020-03-14",9590,8188,25,50051,370,-0.26210542853167,"7"
"68","2020-03-14",9590,8188,25,50051,390,-0.38933818886155,"7"
"69","2020-03-14",9590,8188,25,50051,410,-0.32230196485334,"7"
"70","2020-03-14",9590,8188,25,50051,430,-0.71372005763769,"7"
"71","2020-03-14",9590,8188,25,50051,450,0.245261304248768,"7"
"72","2020-03-14",9590,8188,25,50051,470,0.27266278348696,"7"
"73","2020-03-14",9590,8188,25,50051,490,0.668126806522019,"7"
"74","2020-03-14",9590,8188,25,50051,510,-0.22733397268753,"7"
"75","2020-03-14",9590,8188,25,50051,530,-0.146433541968224,"7"
"76","2020-03-14",9590,8188,25,50051,550,0.0903031136547939,"7"
"77","2020-03-14",9590,8188,25,50051,570,0.0686642006018791,"7"
"78","2020-03-14",9590,8188,25,50051,590,-0.579413179912488,"7"
"79","2020-03-14",9590,8188,25,50051,610,0.679046693638757,"7"
"80","2020-03-14",9590,8188,25,50051,630,-0.216776975103476,"7"
"81","2020-03-14",9590,8188,25,50051,650,-0.187617344866374,"7"
"82","2020-03-14",9590,8188,25,50051,670,0.189458050527386,"7"
"83","2020-03-14",9590,8188,25,50051,690,0.503853424723706,"7"
"84","2020-03-14",9590,8188,25,50051,710,-0.0577923229808299,"7"
"85","2020-03-14",9590,8188,25,50051,730,-0.210401223455603,"7"
"86","2020-03-14",9590,8188,25,50051,750,-0.296799088975976,"7"
"87","2020-03-14",9590,8188,25,50051,770,-0.489625210465023,"7"
"88","2020-03-14",9590,8188,25,50051,790,0.177666118868547,"7"
"89","2020-03-14",9590,8188,25,50051,810,0.0871289863999554,"7"
"90","2020-03-14",9590,8188,25,50051,830,0.118399462959254,"7"
"91","2020-03-14",9590,8188,25,50051,850,0.305369318833427,"7"
"92","2020-03-14",9590,8188,25,50051,870,-0.354891233557252,"7"
"93","2020-03-14",9590,8188,25,50051,890,-0.0999779285179737,"7"
