"","week_start_date","total_cases","marginal_cases","r_0_50","next_week_marginal_cases","block","wave","wave_1","wave_2","wave_3","region","mhhinc_tiers","tier_1_1","tier_1_2","tier_1_3","tier_1_4","tier_2_2","tier_2_3","tier_2_4","tier_3_3","tier_3_4","tier_4_4","same_tier","tier_diff_1","tier_diff_2","tier_diff_3","tier_descr","northeast","midwest","south"
"1","2020-03-28",348623,0,0.462533254161479,766762,1,1,1,0,0,"Northeast","1_1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same",1,0,0
"2","2020-04-04",1115385,766762,0.62372772444762,1179605,1,1,1,0,0,"Northeast","1_1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same",1,0,0
"3","2020-04-11",2294990,1179605,0.726741198409107,1143443,1,1,1,0,0,"Northeast","1_1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same",1,0,0
"4","2020-04-18",3438433,1143443,0.70853632804199,NA,1,1,1,0,0,"Northeast","1_1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same",1,0,0
"5","2020-04-25",4575728,1137295,0.635387066534702,NA,1,1,1,0,0,"Northeast","1_1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same",1,0,0
"6","2020-05-02",5757858,1182130,0.598870097110484,1125324,1,1,1,0,0,"Northeast","1_1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same",1,0,0
"7","2020-05-09",6883182,1125324,0.472279204294112,1001178,1,1,1,0,0,"Northeast","1_1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same",1,0,0
"8","2020-05-16",7884360,1001178,0.377759218030219,975887,1,1,1,0,0,"Northeast","1_1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same",1,0,0
"9","2020-05-23",8860247,975887,0.377501816275765,945101,1,1,1,0,0,"Northeast","1_1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same",1,0,0
"10","2020-05-30",9805348,945101,0.384326846448109,963160,1,1,1,0,0,"Northeast","1_1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same",1,0,0
"11","2020-06-06",10768508,963160,0.4547755031317,958084,1,1,1,0,0,"Northeast","1_1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same",1,0,0
"12","2020-06-13",11726592,958084,0.227660481038782,1057293,1,1,1,0,0,"Northeast","1_1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same",1,0,0
"13","2020-06-20",12783885,1057293,0.271233634753352,1462536,1,1,1,0,0,"Northeast","1_1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same",1,0,0
"14","2020-06-27",14246421,1462536,0.348561087197886,2034242,1,1,1,0,0,"Northeast","1_1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same",1,0,0
"15","2020-07-04",16280663,2034242,0.313950966970928,2460636,1,1,1,0,0,"Northeast","1_1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same",1,0,0
"16","2020-07-11",18741299,2460636,0.451772833830931,2923562,1,1,1,0,0,"Northeast","1_1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same",1,0,0
"17","2020-07-18",21664861,2923562,0.45250698487874,3052374,1,1,1,0,0,"Northeast","1_1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"are the same",1,0,0
